ID,Nome,Categoria,Preço,Quantidade
022,Máquina de Lavar,Eletrodomésticos,1499.99,10
023,Liquidificador Turbo,Eletrodomésticos,199.99,50
024,Aspirador de Pó,Eletrodomésticos,299.99,25
025,Ventilador de Mesa,Eletrodomésticos,99.99,100
026,Fritadeira Elétrica,Eletrodomésticos,399.99,30
027,Cafeteira Expresso,Eletrodomésticos,599.99,20
028,Purificador de Água,Eletrodomésticos,899.99,12
029,Grill Elétrico,Eletrodomésticos,249.99,40
030,Jogo de Panelas Inox,Cozinha,799.99,15
031,Secador de Cabelo,Beleza,149.99,60
